"V1","V2"
2.11625551480255,4.24849524204936
2.15176220325946,4.17438726989564
2.17475172148416,4.14313472639153
2.35137525716348,4.27666611901606
2.37024374146786,4.39444915467244
2.37954613413017,4.4188406077966
2.39789527279837,4.18965474202643
2.39789527279837,4.31748811353631
2.40694510831829,4.38202663467388
2.41591377830105,4.31748811353631
2.42480272571829,4.36944785246702
2.43361335540045,4.33073334028633
2.43361335540045,4.33073334028633
2.45958884180371,4.23410650459726
2.484906649788,4.31748811353631
2.55722731136763,4.30406509320417
2.55722731136763,4.44265125649032
2.58776403522771,4.45434729625351
2.61739583283408,4.26267987704132
2.62466859216316,4.15888308335967
2.63905732961526,4.35670882668959
2.65324196460721,4.38202663467388
2.67414864942653,4.30406509320417
2.77258872223978,4.27666611901606
2.79116510781272,4.34380542185368
2.85070650150373,4.39444915467244
2.86220088092947,4.40671924726425
2.88480071284671,4.38202663467388
2.89037175789616,4.38202663467388
2.89037175789616,4.38202663467388
3.02529107579554,4.46590811865458
